esg_score,industry_rank,total_companies_on_industry,global_rank,total_companies_on_ms,last_esg_full_update_date,last_esg_update_date,industry_group,symbol,controversy_risk,updated_on
11.0,77,675,581,16215,20230208_000000,20240427_000000,Technology Hardware,ERAA.JK,0.0,20240626_032902
49.5,596,609,15908,16215,20230612_000000,20240427_000000,Chemicals,ESSA.JK,0.0,20240626_032914
27.8,137,227,10147,16215,20240208_000000,20240523_000000,Telecommunication Services,EXCL.JK,0.0,20240626_032928
18.0,194,306,3560,16215,20230621_000000,20230621_000000,Media,FILM.JK,,20240626_032939
54.8,274,309,16112,16215,20230313_000000,20240427_000000,Oil & Gas Producers,FIRE.JK,,20240626_032948
38.1,223,227,14642,16215,20230411_000000,20240427_000000,Telecommunication Services,FREN.JK,,20240626_033018
39.2,104,309,14866,16215,20240328_000000,20240427_000000,Oil & Gas Producers,GEMS.JK,,20240626_033044
43.7,567,646,15465,16215,20240408_000000,20240523_000000,Food Products,GGRM.JK,2.0,20240626_033048
37.1,70,162,14419,16215,20231030_000000,20240523_000000,Steel,GGRP.JK,,20240626_033053
35.3,383,646,13845,16215,20230830_000000,20240427_000000,Food Products,GOOD.JK,,20240626_033127
21.1,475,1111,5593,16215,20220926_000000,20220926_000000,Software & Services,GOTO.JK,0.0,20240626_033131
21.0,143,407,5520,16215,20240228_000000,20240427_000000,Transportation,GTRA.JK,,20240626_033155
33.2,554,643,13072,16215,20230403_000000,20240427_000000,Healthcare,HEAL.JK,0.0,20240626_033233
27.3,157,646,9819,16215,20240408_000000,20240523_000000,Food Products,HMSP.JK,0.0,20240626_033252
44.7,158,309,15548,16215,20230208_000000,20240427_000000,Oil & Gas Producers,HRUM.JK,0.0,20240626_033324
34.8,369,646,13661,16215,20240207_000000,20240523_000000,Food Products,ICBP.JK,2.0,20240626_033342
28.4,107,160,10515,16215,20230831_000000,20240427_000000,Building Products,IMPC.JK,,20240626_033424
30.5,49,243,11769,16215,20240401_000000,20240427_000000,Diversified Metals,INCO.JK,2.0,20240626_033436
36.1,402,646,14151,16215,20240429_000000,20240531_000000,Food Products,INDF.JK,4.0,20240626_033442
35.8,78,309,13995,16215,20230731_000000,20240523_000000,Oil & Gas Producers,INDY.JK,0.0,20240626_033454
26.4,64,85,9208,16215,20231113_000000,20240523_000000,Paper & Forestry,INKP.JK,4.0,20240626_033505
27.4,27,136,9872,16215,20240402_000000,20240523_000000,Construction Materials,INTP.JK,0.0,20240626_033535
33.3,202,227,13100,16215,20230208_000000,20240427_000000,Telecommunication Services,ISAT.JK,2.0,20240626_033607
33.5,59,309,13232,16215,20240226_000000,20240523_000000,Oil & Gas Producers,ITMG.JK,0.0,20240626_033623
39.8,487,646,14972,16215,20240515_000000,20240515_000000,Food Products,JPFA.JK,0.0,20240626_033651
12.9,44,190,1124,16215,20231025_000000,20231025_000000,Transportation Infrastructure,JSMR.JK,0.0,20240626_033701
23.0,893,1050,6808,16215,20230516_000000,20230516_000000,Real Estate,KIJA.JK,,20240626_033739
33.3,684,921,13092,16215,20231011_000000,20240523_000000,Pharmaceuticals,KLBF.JK,0.0,20240626_033801
21.2,811,1050,5622,16215,20230424_000000,20240503_000000,Real Estate,LPKR.JK,,20240626_033919
20.5,346,516,5143,16215,20240515_000000,20240515_000000,Retailing,LPPF.JK,,20240626_033927
33.3,336,646,13144,16215,20230518_000000,20240427_000000,Food Products,LSIP.JK,,20240626_033937
20.3,339,516,5052,16215,20230522_000000,20240427_000000,Retailing,MAPI.JK,0.0,20240626_034000
45.8,140,243,15652,16215,20240213_000000,20240213_000000,Diversified Metals,MBMA.JK,,20240626_034021
42.9,144,309,15391,16215,20240229_000000,20240427_000000,Oil & Gas Producers,MCOL.JK,,20240626_034040
29.9,45,243,11449,16215,20240126_000000,20240523_000000,Diversified Metals,MDKA.JK,2.0,20240626_034052
29.1,31,309,10948,16215,20231101_000000,20240523_000000,Oil & Gas Producers,MEDC.JK,0.0,20240626_034106
23.6,121,200,7227,16215,20240328_000000,20240427_000000,Food Retailers,MIDI.JK,,20240626_034149
25.7,316,643,8726,16215,20230202_000000,20240427_000000,Healthcare,MIKA.JK,2.0,20240626_034154
17.9,190,306,3499,16215,20240305_000000,20240305_000000,Media,MNCN.JK,0.0,20240626_034221
18.6,268,516,3994,16215,20231128_000000,20231128_000000,Retailing,MPMX.JK,0.0,20240626_034241
19.4,231,306,4455,16215,20230405_000000,20230405_000000,Media,MSIN.JK,,20240626_034300
24.3,564,675,7780,16215,20230228_000000,20240427_000000,Technology Hardware,MTDL.JK,,20240626_034312
22.4,73,227,6458,16215,20240206_000000,20240523_000000,Telecommunication Services,MTEL.JK,0.0,20240626_034316
31.2,268,646,12121,16215,20230515_000000,20240427_000000,Food Products,MYOR.JK,1.0,20240626_034338
40.5,102,243,15089,16215,20240306_000000,20240604_000000,Diversified Metals,NCKL.JK,,20240626_034359
26.6,550,1050,9311,16215,20230307_000000,20240430_000000,Banks,NISP.JK,,20240626_034425
28.8,402,643,10750,16215,20230828_000000,20240427_000000,Healthcare,OMED.JK,0.0,20240626_034453
39.6,483,646,14942,16215,20240404_000000,20240427_000000,Food Products,PANI.JK,,20240626_034514
26.2,239,682,9090,16215,20231005_000000,20240523_000000,Utilities,PGAS.JK,0.0,20240626_034550
9.3,7,682,293,16215,20231113_000000,20240523_000000,Utilities,PGEO.JK,,20240626_034601
